Dimensione,Tempo
10000,1.190
10000,1.084
10000,1.099
10000,1.066
10000,1.087
10000,1.063
10000,1.125
10000,1.147
10000,1.060
10000,1.119
20000,3.468
20000,3.514
20000,3.425
20000,3.462
20000,3.547
20000,3.484
20000,4.722
20000,3.553
20000,3.479
20000,3.499
30000,11.458
30000,7.587
30000,4.787
30000,4.648
30000,7.389
30000,10.035
30000,7.176
30000,6.952
30000,9.643
30000,13.038
