Dimensione,Tempo
10000,4.413
10000,4.357
10000,4.370
10000,4.387
10000,4.341
10000,4.376
10000,4.364
10000,4.383
10000,4.344
10000,4.754
20000,17.404
20000,17.429
20000,17.410
20000,17.380
20000,17.418
20000,17.423
20000,17.430
20000,17.399
20000,17.414
20000,17.431
30000,32.236
30000,32.285
30000,32.199
30000,32.339
30000,32.235
30000,32.265
30000,32.263
30000,32.235
30000,32.271
30000,32.197
